delta_conf,type_of_label_change
0.0448,Emphasis Change
0.0267,Emphasis Change
0.0338,Emphasis Change
-0.1970,Generalisation
-0.0342,Emphasis Change
0.2999,Specialisation
-0.1436,Emphasis Change
0.0210,Generalisation
-0.0230,Emphasis Change
0.0142,Emphasis Change
0.0823,Emphasis Change
-0.0110,Emphasis Change
0.0532,Emphasis Change
0.2449,Emphasis Change
-0.0119,Generalisation
0.0506,Generalisation
-0.0946,Emphasis Change
0.0005,Generalisation
-0.0343,Emphasis Change
0.1015,Generalisation
0.0615,Generalisation
0.0817,Generalisation
-0.0561,Emphasis Change
0.0140,Emphasis Change
0.1321,Emphasis Change
0.0082,Emphasis Change
-0.0136,Generalisation
0.0342,Emphasis Change
0.0753,Generalisation
0.0427,Generalisation
0.0394,Generalisation
0.0330,Specialisation
0.0230,Emphasis Change
-0.0148,Emphasis Change
0.0152,Emphasis Change
0.0155,Emphasis Change
0.1631,Emphasis Change
0.0295,Specialisation
-0.0085,Generalisation
0.0350,Emphasis Change
-0.0234,Specialisation
0.0113,Emphasis Change
0.0385,Emphasis Change
0.0060,Emphasis Change
0.1126,Emphasis Change
0.0487,Generalisation
0.1392,Emphasis Change
0.0602,Emphasis Change
-0.0323,Specialisation
0.4254,Emphasis Change
0.0120,Specialisation
0.1495,Emphasis Change
0.0616,Emphasis Change
0.0410,Specialisation
0.0453,Emphasis Change
0.0308,Generalisation
-0.1120,Emphasis Change
-0.0087,Generalisation
0.3158,Emphasis Change
0.1826,Emphasis Change
0.0078,Emphasis Change
0.2187,Generalisation
-0.0437,Specialisation
0.0205,Specialisation
0.1069,Emphasis Change
0.0001,Emphasis Change
0.0187,Emphasis Change
0.0025,Specialisation
0.1647,Emphasis Change
0.1424,Emphasis Change
0.0389,Generalisation
-0.1019,Emphasis Change
-0.0162,Emphasis Change
-0.0239,Emphasis Change
0.0238,Emphasis Change
0.0063,Generalisation
0.0548,Generalisation
-0.0845,Specialisation
0.0049,Specialisation
0.2859,Emphasis Change
0.2192,Emphasis Change
-0.0153,Generalisation
0.0760,Emphasis Change
0.0149,Emphasis Change
-0.0047,Emphasis Change
-0.0321,Specialisation
0.0330,Generalisation
0.0232,Generalisation
0.0435,Specialisation
0.3687,Specialisation
0.0895,Specialisation
0.2557,Specialisation
0.0030,Emphasis Change
0.0018,Emphasis Change
-0.0159,Specialisation
0.0044,Specialisation
0.0106,Emphasis Change
0.0135,Specialisation
0.0516,Generalisation
-0.1571,Generalisation
0.0054,Generalisation
-0.0123,Specialisation
0.1512,Emphasis Change
0.2890,Emphasis Change
0.0307,Generalisation
0.0217,Specialisation
0.0097,Emphasis Change
0.0580,Emphasis Change
0.0033,Emphasis Change
0.0320,Generalisation
-0.0703,Emphasis Change
0.1031,Emphasis Change
-0.1337,Emphasis Change
0.1390,Emphasis Change
0.0359,Emphasis Change
-0.0020,Emphasis Change
-0.1445,Emphasis Change
0.0414,Emphasis Change
0.0818,Emphasis Change
0.0416,Generalisation
0.0214,Emphasis Change
0.0082,Emphasis Change
0.0349,Emphasis Change
0.1186,Emphasis Change
0.0451,Emphasis Change
0.0156,Emphasis Change
0.0207,Emphasis Change
0.0502,Specialisation
0.0900,Emphasis Change
0.0609,Emphasis Change
0.0965,Emphasis Change
0.0083,Emphasis Change
-0.0010,Specialisation
0.0550,Generalisation
-0.0510,Emphasis Change
0.0384,Generalisation
0.1567,Emphasis Change
0.3203,Emphasis Change
0.0291,Emphasis Change
-0.0051,Emphasis Change
0.0242,Emphasis Change
0.0032,Specialisation
0.0242,Emphasis Change
-0.0875,Emphasis Change
0.0465,Emphasis Change
0.0134,Specialisation
0.2680,Emphasis Change
0.0172,Emphasis Change
0.0873,Specialisation
0.0303,Specialisation
0.0188,Generalisation
0.1532,Generalisation
0.0340,Specialisation
0.0114,Specialisation
0.0156,Generalisation
0.0338,Specialisation
0.0167,Emphasis Change
0.0082,Generalisation
0.0062,Generalisation
-0.0006,Generalisation
-0.0761,Emphasis Change
0.0321,Emphasis Change
0.0217,Emphasis Change
0.0950,Emphasis Change
0.0152,Generalisation
0.0441,Emphasis Change
0.0052,Generalisation
0.0306,Specialisation
0.0128,Generalisation
-0.0396,Specialisation
0.0450,Generalisation
0.0347,Generalisation
0.0273,Emphasis Change
-0.0248,Generalisation
-0.1357,Emphasis Change
0.0131,Generalisation
-0.0192,Emphasis Change
0.0059,Generalisation
-0.0905,Emphasis Change
-0.0533,Specialisation
0.0131,Generalisation
0.0407,Generalisation
-0.1236,Emphasis Change
0.0362,Emphasis Change
0.0877,Emphasis Change
0.0131,Generalisation
0.1737,Emphasis Change
0.0268,Generalisation
0.0422,Generalisation
0.0519,Generalisation
0.0220,Generalisation
-0.3044,Emphasis Change
0.0343,Emphasis Change
0.1223,Emphasis Change
-0.0569,Emphasis Change
-0.0096,Specialisation
0.0712,Emphasis Change
0.0016,Specialisation
0.0142,Emphasis Change
-0.0151,Generalisation
-0.0375,Emphasis Change
-0.0043,Emphasis Change
0.0556,Specialisation
0.0341,Generalisation
0.0145,Emphasis Change
